File	/Users/minjaesong/Downloads/MONOTONE-master/RICKROLL.MON
Length	5 patterns
voices	3
Order list:
00 01 02 03 04 

Order 00
rw | nnn edd | nnn edd | nnn edd
27 | ... ... | ... ... | === ...
28 | === ... | ... ... | ... ...
29 | A-4 ... | ... ... | A-4 ...
2A | A-3 ... | B-5 ... | A-3 ...
2B | === ... | ... ... | === ...
2C | A-4 ... | ... ... | A-4 ...
2D | === ... | ... ... | === ...
2E | A-3 ... | A-5 ... | A-3 ...
2F | === ... | ... ... | === ...
30 | F#3 ... | E-6 ... | F#4 ...
31 | ... ... | ... ... | ... ...
32 | ... ... | D-6 ... | === ...
33 | ... ... | === ... | ... ...
34 | B-3 ... | D-6 ... | B-4 ...
35 | ... ... | ... ... | ... ...
36 | ... ... | ... ... | ... ...
37 | === ... | === ... | === ...
38 | ... ... | ... ... | ... ...
39 | ... ... | ... ... | ... ...
3A | ... ... | ... ... | ... ...
3B | ... ... | ... ... | ... ...
3C | ... ... | ... ... | A-4 ...
3D | ... ... | ... ... | B-4 ...
3E | ... ... | ... ... | D-5 ...
3F | ... ... | ... ... | B-4 ...

Order 04
rw | nnn edd | nnn edd | nnn edd

00 | E-3 ... | F#6 ... | D-5 ...
01 | === ... | ... ... | ... ...
02 | E-4 ... | === ... | === ...
03 | === ... | E-6 ... | D-5 ...
04 | E-4 ... | F#6 ... | ... ...
05 | E-3 ... | ... ... | === ...
06 | A-3 ... | E-6 ... | C#5 ...
07 | ... ... | ... ... | ... ...
08 | ... ... | ... ... | === ...
09 | A-4 ... | === ... | ... ...
0A | A-3 ... | ... ... | ... ...
0B | A-2 ... | ... ... | ... ...
0C | A-4 ... | A-5 ... | A-4 ...
0D | === ... | B-5 ... | B-4 ...
0E | A-3 ... | D-6 ... | D-5 ...
0F | A-4 ... | B-5 ... | B-4 ...
10 | F#3 ... | E-6 ... | C#5 ...
11 | === ... | ... ... | ... ...
12 | F#4 ... | === ... | === ...
13 | F#3 ... | A-6 ... | E-5 ...
14 | === ... | ... ... | ... ...
15 | F#4 ... | === ... | === ...
16 | B-3 ... | D-6 ... | D-5 ...
17 | ... ... | ... ... | ... ...
18 | === ... | ... ... | === ...
19 | B-4 ... | C#6 ... | C#5 ...
1A | B-3 ... | B-5 ... | B-4 ...
1B | === ... | === ... | ... ...
1C | A-3 ... | A-5 ... | A-4 ...
1D | === ... | B-5 ... | B-4 ...
1E | A-4 ... | D-6 ... | D-5 ...
1F | A-3 ... | B-5 ... | B-4 ...
20 | G-3 ... | D-6 ... | G-4 ...
21 | ... ... | ... ... | === ...
22 | G-4 ... | === ... | G-4 ...
23 | G-3 ... | ... ... | ... ...
24 | G-4 ... | E-6 ... | G-5 ...
25 | === ... | ... ... | G-4 ...
26 | A-3 ... | B-5 ... | A-3 ...
27 | ... ... | C#6 ... | === ...
28 | === ... | ... ... | ... ...
29 | A-4 ... | ... ... | A-4 ...
2A | A-3 ... | B-5 ... | A-3 ...
2B | === ... | ... ... | === ...
2C | A-4 ... | ... ... | A-4 ...
2D | === ... | A-5 ... | === ...
2E | A-3 ... | A-5 ... | A-3 ...
2F | === ... | ... ... | === ...
30 | F#3 ... | E-6 ... | F#4 ...
31 | ... ... | ... ... | ... ...
32 | ... ... | ... ... | === ...
33 | ... ... | === ... | ... ...
34 | B-3 ... | D-6 ... | B-4 ...
35 | ... ... | ... ... | ... ...
36 | ... ... | ... ... | ... ...
37 | === ... | ... ... | === ...
38 | ... ... | ... ... | ... ...
39 | ... ... | ... ... | ... ...
3A | ... ... | === ... | ... ...
3B | ... ... | ... ... | ... ...
3C | ... ... | ... ... | A-4 ...
3D | ... ... | ... ... | B-4 ...
3E | ... ... | ... ... | D-5 ...
3F | ... ... | ... ... | B-4 ...

