File	/Users/minjaesong/Downloads/MONOTONE-master/SWINGIN1.MON
Length	31 patterns
voices	3
Order list:
1B 1C 19 19 17 18 00 01 02 03 04 05 06 07 10 08 09 0A 0B 0C 0D 0E 0F 11 12 13 14 11 12 13 1D 1E 

Order 1B
rw | nnn edd | nnn edd | nnn edd
30 | F#5 000 | F-3 210 | D#5 F05
31 | === 000 | C-1 320 | === 000
32 | G#4 000 | C#1 000 | C#6 F03
33 | === 000 | ... 000 | === 000
34 | A#4 000 | C#2 000 | G#5 F05
35 | === 000 | ... 000 | === 000
36 | B-4 000 | ... 000 | D#5 F03
37 | === 000 | C#1 000 | === 000
38 | D#5 000 | C-4 220 | C#6 F05
39 | === 000 | C-3 220 | === 000
3A | G#4 000 | G#2 000 | G#5 F03
3B | === 000 | ... 000 | === 000
3C | A#4 000 | C#2 110 | D#5 F05
3D | === 000 | C#3 320 | === 000
3E | B-4 000 | C#4 000 | C#6 F03
3F | === 000 | C#3 000 | === 000

Order 1D
rw | nnn edd | nnn edd | nnn edd

00 | D#4 000 | F-3 210 | D#5 F05
01 | === 000 | C-1 320 | === 000
02 | G#4 000 | G#2 000 | B-5 F03
03 | === 000 | ... 000 | === 000
04 | A#4 000 | G#1 000 | G#5 F05
05 | === 000 | ... 000 | === 000
06 | B-4 000 | G#2 000 | D#5 F03
07 | === 000 | G#1 000 | === 000
08 | D#5 000 | C-4 220 | B-5 F05
09 | === 000 | C-3 220 | === 000
0A | D#4 000 | G#4 000 | B-4 F03
0B | ... 000 | ... 000 | ... 000
0C | A#4 000 | G#2 000 | D#5 F05
0D | === 000 | ... 000 | === 000
0E | D#4 000 | G#4 000 | B-4 F03
0F | ... 000 | ... 000 | ... 000
10 | F#5 000 | F-3 210 | D#5 F05
11 | === 000 | C-1 320 | === 000
12 | G#4 000 | G#1 000 | A#5 F03
13 | === 000 | ... 000 | === 000
14 | A#4 000 | G#2 000 | G#5 F05
15 | === 000 | ... 000 | === 000
16 | B-4 000 | ... 000 | D#5 F03
17 | === 000 | G#1 000 | === 000
18 | D#5 000 | C-4 220 | A#5 F05
19 | === 000 | C-3 220 | === 000
1A | G#4 000 | G#2 204 | G#5 F03
1B | === 000 | G#1 304 | === 000
1C | A#4 000 | ... 304 | D#5 F05
1D | === 000 | ... 304 | === 000
1E | B-4 000 | ... 310 | A#5 F03
1F | === 000 | ... 000 | === 000
20 | D#4 000 | F-3 210 | G#5 F05
21 | === 000 | C-1 320 | === 000
22 | G#4 000 | G#2 000 | D#5 F03
23 | === 000 | ... 000 | === 000
24 | A#4 000 | G#1 000 | D#6 F05
25 | === 000 | ... 000 | === 000
26 | B-4 000 | G#2 000 | G#5 F03
27 | === 000 | G#1 000 | === 000
28 | D#5 000 | C-4 220 | D#5 F05
29 | === 000 | C-3 220 | === 000
2A | D#4 000 | G#4 000 | B-4 F03
2B | ... 000 | ... 000 | ... 000
2C | A#4 000 | G#2 000 | G#5 F05
2D | === 000 | ... 000 | === 000
2E | D#4 000 | G#4 000 | B-4 F03
2F | ... 000 | ... 000 | ... 000
30 | F#5 000 | F-3 210 | D#6 F05
31 | === 000 | C-1 320 | === 000
32 | G#4 000 | G#1 000 | G#5 000
33 | === 000 | ... 000 | === 000
34 | B-5 000 | ... 000 | F#6 F06
35 | === 000 | === 000 | === 000
36 | B-4 000 | ... 000 | G#5 000
37 | === 000 | ... 000 | === 000
38 | D#5 000 | ... 000 | B-5 F07
39 | === 000 | ... 000 | === 000
3A | G#4 000 | ... 000 | G#5 F08
3B | === 000 | ... 000 | === 000
3C | A#5 000 | ... 000 | D#6 F09
3D | ... 000 | ... 000 | === 000
3E | B-4 000 | ... 000 | G#5 F0A
3F | G#1 320 | ... 000 | === 000

Order 1E
rw | nnn edd | nnn edd | nnn edd

00 | G#1 F06 | F-3 210 | C-4 228
01 | ... 000 | C-1 320 | C-3 228
02 | D#4 000 | G#4 000 | B-4 000
03 | ... 000 | ... 000 | ... 000
04 | === 000 | === 204 | === 000
05 | ... 000 | === 308 | ... 000
06 | ... 000 | ... 308 | ... 000
07 | ... 000 | === 308 | ... 000
08 | D#4 000 | C-4 228 | B-4 000
09 | ... 000 | C-3 228 | ... 000
0A | === 000 | === 000 | === 000
0B | ... 000 | ... 000 | ... 000
0C | ... 000 | ... 000 | ... 000
0D | ... 000 | ... 000 | ... 000
0E | D#4 000 | ... 000 | B-4 000
0F | === 000 | === 000 | === 000
10 | ... 000 | ... 000 | ... 000
11 | ... 000 | ... 000 | ... 000
12 | ... 000 | ... 000 | ... 000
13 | ... 000 | ... 000 | ... 000
14 | ... 000 | ... 000 | ... 000
15 | ... 000 | ... 000 | ... 000
16 | ... 000 | ... 000 | ... 000
17 | ... 000 | ... 000 | ... 000
18 | ... 000 | ... 000 | ... 000
19 | ... 000 | ... 000 | ... 000
1A | ... 000 | ... 000 | ... 000
1B | ... 000 | ... 000 | ... 000
1C | ... 000 | ... 000 | ... 000
1D | ... 000 | ... 000 | ... 000
1E | ... 000 | ... 000 | ... 000
1F | ... 000 | ... 000 | ... 000
20 | ... 000 | ... 000 | ... 000
21 | ... 000 | ... 000 | ... 000
22 | ... 000 | ... 000 | ... 000
23 | ... 000 | ... 000 | ... 000
24 | ... 000 | ... 000 | ... 000
25 | ... 000 | ... 000 | ... 000
26 | ... 000 | ... 000 | ... 000
27 | ... 000 | ... 000 | ... 000
28 | ... 000 | ... 000 | ... 000
29 | ... 000 | ... 000 | ... 000
2A | ... 000 | ... 000 | ... 000
2B | ... 000 | ... 000 | ... 000
2C | ... 000 | ... 000 | ... 000
2D | ... 000 | ... 000 | ... 000
2E | ... 000 | ... 000 | ... 000
2F | ... 000 | ... 000 | ... 000
30 | ... 000 | ... 000 | ... 000
31 | ... 000 | ... 000 | ... 000
32 | ... 000 | ... 000 | ... 000
33 | ... 000 | ... 000 | ... 000
34 | ... 000 | ... 000 | ... 000
35 | ... 000 | ... 000 | ... 000
36 | ... 000 | ... 000 | ... 000
37 | ... 000 | ... 000 | ... 000
38 | ... 000 | ... 000 | ... 000
39 | ... 000 | ... 000 | ... 000
3A | ... 000 | ... 000 | ... 000
3B | ... 000 | ... 000 | ... 000
3C | ... 000 | ... 000 | ... 000
3D | ... 000 | ... 000 | ... 000
3E | ... 000 | ... 000 | ... 000
3F | ... 000 | ... 000 | ... 000

